product_id,product_category,product_brand,product_name,img,rating,description,price,quantity
11,Shampoos,Butter London,Powder Room,img_dea_product2711.webp,3,"Removing your lacquer color may be a pain, but it doesn't have to stink with butter LONDON's lacquer remover. Powder Room Acetone Free Lacquer Remover gently removes all traces of nail lacquer from your nails while leaving behind a soft, powdery scent, turning a tough job into a small job.",68.51,89
12,Shampoos,Butter London,Rock Off Glycolic Callus Peel,img_wom_product9583.webp,2,"Hard skin simply melts away! Rock Off Glycolic Callus Peel removes calluses with an easy rollerball application and contains acids commonly used in skin care to exfoliate the surface of the skin. Key ingredients: - Glycolic acid is one of the most effective alpha-hydroxy acids. It exfoliates the top layer of skin exposing the new, soft layer of skin. - Salicylic acid, a beta hydroxy acid, has the ability to penetrate the skin to exfoliate inside the pores.",51.91,42
13,Face Care,Butter London,Royal Punch Remover,img_tim_product9427.webp,5,"This coconut mango scent packs a punch! This Acetone-free Lacquer Remover gently removes all traces of lacquer from your nails and has a fruity, tropical scent.",76.55,40
14,Lipstick,Butter London,Stiletto Stick Hydrating Heel Balm,img_mak_product9253.webp,2,"Stiletto Stick is a hydrating balm to soften and smooth your heels without leaving an oily feel on the skin. Dry, cracked areas will fade away, offering instant relief that keeps heels soft with continued use.",16.07,63
15,Lipstick,Bobbi Brown,Angle Eye Shadow,img_gir_product5250.webp,4,"Ideal for applying shadow in the corner, in the crease or all over the lid. It is especially handy for contouring and smudging. Designed to be used with all Bobbi Brown powder eye shadow formulas.",39.0,20
16,Lipstick,Bobbi Brown,Beach Body Lotion,img_cha_product1164.webp,1,"This lightweight body moisturizer contains a soothing and hydrating blend of Aloe Vera and Olive, Jojoba and Sunflower Oils.Â beachÂ Body LotionÂ helps reduce peeling and prolong the life of your tan.Â ",59.11,81
17,Hairstyling,Bobbi Brown,Beach Body Oil,img_gir_product880.webp,3,"A unique, moisturizing body oil that gives skin a sultry sheen as it scents withÂ beachÂ Fragrance.Â Contains four essential oils (Olive, Sesame, Avocado and Jojoba) and Vitamins E and C to soften and nourish skin.",38.69,59
18,Face Care,Bobbi Brown,Beach Body Scrub,img_yog_product10529.webp,1,"Great for smoothing skin before hitting the beach â€” Bobbi's emollient body exfoliator is lightly scented withbeachÂ Fragrance.Â Contains Orange Peel and Pumice to gently, yet effectively, help remove rough surface skin. Shea Butter and nourishing essential oils infuse skin with moisture.Â beachÂ Body ScrubÂ leaves skin feeling soft, smooth and hydrated.",52.57,82
19,Conditioner,Bobbi Brown,Beach Shower Gel,img_iph_product2837.webp,4,This moisturizing body cleanser is specially formulated with Pacific Sea Kelp Extract to soften skin as it cleanses.beachÂ Shower GelÂ is lightly scented withÂ beachFragrance.Â ,73.48,38
20,Lipstick,Bobbi Brown,Blush,img_win_product12530.webp,2,Silky formula glides on smoothly and offers a matte finish with long-lasting wear.,5.87,11
21,Face Care,Bobbi Brown,Brightening Finishing Powder,img_lem_product7888.webp,5,"This all-over powder instantly illuminates and gives skin a healthy-looking glow. It's infused with a skin brightening blend of Mulberry, Grape and Scutellaria Extracts, as well as Sodium Hyaluronate to help keep skin fresh and smooth looking. Palette includes a mirror for perfect application.",36.64,37
22,Face Care,Bobbi Brown,Brightening Lip Gloss,img_pha_product1900.webp,4,"Bobbi has sized up all her glosses to give you an extra dose of shine. This sheer, reflective formula wakes up your face and helps create the illusion of fuller lips, plus the new tapered applicator lets you apply it like a pro. Wear alone or on top of your favorite Bobbi Brown lipstick.",48.33,45
23,Conditioner,Bobbi Brown,Bronzer,img_cos_product8161.webp,4,"Our must-have Bronzer Brush now features luxuriously soft bristles and a more rounded brush head to provide smoother, more even application of bronzer. Perfect for use with our popular Illuminating Bronzing Powder and Bronzing Powder.",48.42,12
24,Shampoos,Bobbi Brown,Bronzing Powder,img_mak_product2701.webp,1,"This soft matte, silky-smooth bronzer instantly gives skin the look of a natural tan. Bobbi suggests using Bronzing Powder year round to get a sun-kissed look.",43.88,8
25,Shampoos,Bobbi Brown,Brush Cleaning Spray,img_lav_product8003.webp,5,This alcohol free spray formula is designed to clean brushes instantly between makeup applications. Quick drying and gentle enough to be used on both natural and synthetic brushes. Ideal for use between brush shampoos.,56.0,48
26,Conditioner,Bobbi Brown,Buffing Grains for Face,img_ess_product11954.webp,2,"A true skincare innovation. These luxurious grains can be mixed with any Bobbi Brown cleanser or water to create a fully customized, gentle exfoliator for the face. Comes in a glass bottle with pour top for easy use.",63.52,42
27,Face Care,Bobbi Brown,Concealer,img_eye_product5183.webp,1,Shaped to reach into the tiniest corners and deposit the perfect amount ofÂ Creamy ConcealerÂ under eyes. The Concealer Brush can also be used to spot-applyÂ Face Touch Up Stick.,43.57,75
28,Conditioner,Bobbi Brown,Concealer Blending,img_gli_product994.webp,4,"Designed to be used with our Creamy Concealer and Corrector, the Concealer Blending Brush lets you apply product and blend it at the same time. Ideal for covering areas like under-eye circles.",48.28,34
29,Hairstyling,Bobbi Brown,Conditioning Brush Cleanser,img_gir_product7255.webp,5,Specifically designed to remove makeup and residue safely without damaging brushes. Take special care of your Bobbi Brown Brushes by cleaning regularly for longer lasting life.,13.31,65
30,Hairstyling,Bobbi Brown,Cream Shadow,img_str_product5096.webp,2,The Cream Shadow Brush is the ideal tool for applying Bobbi's award-winning Metallic Long-Wear Cream Shadow and Long-Wear Cream Shadow formulas. Features a brush head designed to pick up and perfectly apply this shadow.,20.95,80
31,Lipstick,Bobbi Brown,Creamy Lip Color,img_ess_product1760.webp,1,"Creamy Lip Color combines rich color with comfortable, long-lasting wear and a soft, creamy shine. With emollient shea butter and plant-derived skin conditioners, this amazing formula glides on smooth, wears all day, and leaves lips soft and moisturized.",62.5,37
32,Shampoos,Bobbi Brown,Creamy Matte Lip Color,img_bar_product607.webp,3,"Bobbi's revolutionary new lipstick -Â Creamy Matte Lip ColorÂ combines the look of a classic matte lip with incredible wearability. Creamy and moisturizing, it glides on comfortably and feels light-as-air. Not to mention that it's got staying power, too (it won't budge for 8 hours).Â ",34.09,10
33,Shampoos,Bobbi Brown,Crystal Lip Gloss,img_ess_product1760.webp,1,"This clear, high-shine Lip Gloss is the easiest way to instantly enhance lips. Wear alone for a naturally luscious look or layer over your favorite Lip Color and Lip Liner for added brilliance. Comes in an easy-squeeze tube that makes it ideal for homeâ€”or on-the-go.",11.56,19
34,Conditioner,Bobbi Brown,Deluxe Size Hydrating Face Cream,img_che_product3437.webp,1,Bobbi's Hydrating Face Cream now comes in a limited editionÂ 100 ml special value size. This rich yet lightweight formula instantly hydrates throughout the day. Skin is smooth and plumped; makeup stays fresh and glowing thanks to a long-lasting cushion of humectants and hydrating ingredients including algae extract.,62.41,67
35,Conditioner,Bobbi Brown,Everything Mascara,img_bat_product6863.webp,5,"An everyday essential for lashes. Bobbi Brown Everything Mascara has an innovative, all-in-one formula that lengthens, thickens, and defines - without smearing, smudging or clumping.Â ",72.82,65
36,Hairstyling,Bobbi Brown,EXTRA Balm Rinse,img_ann_product6997.webp,3,"This conditioning cleanser removes all traces of makeup and impurities quickly and completely. Leaves skin with a smooth, cushiony finish, and feeling instantly refreshed. Use daily for dry skin, or as a nighttime treatment when skin needs more hydration.",55.07,29
37,Lipstick,Bobbi Brown,EXTRA Eye Repair Cream,img_ker_product644.webp,4,"Do your eyes need something extra? Packed with peptides, natural plant oils and humectants that target fine lines, wrinkles, dark circles, puffiness and dryness, this rich, concentrated cream visibly revives eyes. Use morning and night - warm between fingers, then pat gently around eye area. Once cream is absorbed, follow with Corrector and Creamy Concealer.Â ",28.24,40
38,Conditioner,Bobbi Brown,EXTRA Face Oil,img_gir_product10648.webp,3,"This emollient facial oil provides a concentrated boost of intensive moisture to comfort very dry skin. The lightweight formula absorbs easily, immediately moisturizing, softening, and conditioning skin with an oil blend of Sesame, Sweet Almond, Olive and Jojoba.Â ",57.93,12
39,Lipstick,Bobbi Brown,EXTRA Repair Moisturizing Balm SPF 25,img_wom_product5977.webp,4,"Since sun damage is a key factor in skin aging, this is as an everyday essential for broad-spectrum sun protection. Formulated with the same powerful ingredients as Extra Repair Moisturizing Balm, this multi-tasker also offers anti-aging benefits. Argireline Â® Peptide helps to increase skin firmness, while Clary Sage Ferment boosts skin's ability to hold in moisture over time.",68.39,3
40,Face Care,Bobbi Brown,EXTRA Repair Serum,img_col_product5048.webp,5,"TLC for winter-weary complexions. NEWÂ EXTRA Repair SerumÂ is Bobbi's solution for dry or very dry skin. Luxurious and milky, this concentrated repair serum comforts skin as it firms and moisturizes. Anti-aging ingredients likeÂ Vitamin CÂ and a powerfulpeptideÂ help reduce the look of fine lines and wrinkles both instantly and over time.Â Meadowfoam Seed Oilhydrate whileÂ Wheat, Bran and Olive ExtractsÂ help your skin hold on to moisture.Â Clary Sage Extracthelps reveal a clearer, more radiant complexion. Layer underneath your favorite EXTRA moisturizer.",57.35,77
41,Conditioner,Bobbi Brown,EXTRA Soothing Balm,img_ras_product10971.webp,2,"A dense, concentrated balm with exotic plant extracts, such as Avocado, Geranium and Rosemary Oils, can be used anywhere extra hydration is needed--on lips, cuticles, even heels. EXTRA Soothing Balm can also be applied lightly over makeup to give cheeks that desired, healthy glow. A little goes a long way.",13.26,4
42,Hairstyling,Bobbi Brown,Extreme Party Mascara,img_eas_product661.webp,3,"Extreme Build. Endless Volume. Exceptional Separation. The formula stays flexible, so each coat goes on as fresh as the firstâ€”immediately or hours laterâ€”without clumping, smudging or flaking.",67.55,70
43,Hairstyling,Bobbi Brown,Eye Blender,img_gra_product12458.webp,5,"Expertly blends all Eye Shadow shades together, softening any harsh lines or edges. The Eye Blender Brush can also be used to set concealer using powder from the Creamy Concealer Kit.",56.68,61
44,Hairstyling,Bobbi Brown,Eye Brow,img_per_product10582.webp,3,Angled brush head expertly shapes and defines natural-looking brows.,45.86,18
45,Shampoos,Bobbi Brown,Eye Definer,img_iri_product9074.webp,5,The Eye Definer Brush does double-duty: softly lining eyes and filling in and strengthening thin or sparse brows.,71.3,20
46,Conditioner,Bobbi Brown,Eye Liner,img_vog_product8195.webp,1,"For use with dark Eye Shadow shades, the Eye Liner Brush is perfectly shaped to create a precise and even line.",41.91,56
47,Conditioner,Bobbi Brown,Eye Makeup Remover,img_mak_product243.webp,1,This soothing formula gently and thoroughly removes makeup from the delicate eye area without any oily residue. Aloe Vera calms and comforts this fragile skin; Rosewater Extract leaves it feeling clean and refreshed.Â ,56.47,50
48,Lipstick,Bobbi Brown,Eye Shadow,img_eye_product10738.webp,4,"This silky, matte powder shadow goes on smoothly & blends easily. The densely pigmented formula can be layered and comes in a range of beautiful shades for defining lids and lining eyes. (You can even use it to define your brows.) Comes in a sleek, flip-top compact that can be used individually or popped into an empty Palette (sold separately).",42.23,71
49,Face Care,Bobbi Brown,Eye Smudge,img_you_product13191.webp,2,"The tapered end of this brush is designed for smudging to create a modern, soft, smoky eye.",42.87,23
50,Shampoos,Bobbi Brown,Eyelash Curler,img_wom_product9583.webp,5,Curling your lashes is an instant eye opener. Bobbi's Eyelash Curler gives lashes a natural-looking curl and is designed for use on lashes before applying mascara. Crafted in black metal. Includes one replacement pad.,20.3,85
51,Conditioner,Bobbi Brown,Face,img_egg_product6538.webp,2,"This short handled brush with a big, fluffy head is ideal for touch-ups with Face Powder, Bronzing Powder, and Blush.",63.88,56
52,Face Care,Bobbi Brown,Face Blender,img_bea_product3105.webp,1,"A great multi-purpose brush, ideal for dusting Shimmer Brick Compact on cheekbones for a natural-looking, shimmery glow. The Face Blender Brush can also be used with Sheer Finish Powder, Blush, or Bronzing Powder.",75.75,77
53,Lipstick,Bobbi Brown,Foundation,img_gra_product12458.webp,5,Achieve flawless foundation application with this brush. Creates a polished look with full coverage. Can be used with all our foundation formulas.,52.45,4
54,Hairstyling,Bobbi Brown,Gentle Curl Eye Lash Curler,img_res_product423.webp,3,Make your lashes go the distance with Bobbi's Gentle Curl Eye Lash Curler. This curler possesses extra cushiony lash pads that gently grip even the smallest lashes for a picture perfect lifted effect.,70.86,82
55,Shampoos,Bobbi Brown,High Shimmer Lip Gloss,img_lav_product8003.webp,1,"Bobbi's new lip gloss combines gorgeous, light-catching shimmer with lasting, non-sticky shine. Made with fine pearls and clear pigments, High Shimmer Lip Gloss stays color-true and gives lips beautiful, brilliant dimension. Plus it's enriched with emollients and Vitamins C and E to moisturize, condition and protect lips, so they feel as good as they look. Whether you wear it on its own or on top of your favorite Lip Color, the new tapered applicator lets you apply it like a pro.",43.38,29
56,Shampoos,Bobbi Brown,Hydrating Eye Cream,img_bee_product11609.webp,2,"This quick-absorbing eye cream delivers naturally-occurring humectants that melt into the skin, leaving the eye area soft, smooth and refreshed for up to 24 hours. A perfect level of emollients imparts a lightweight texture, allowing concealer to glide on evenly - Aloe Vera and Witch Hazel Extract soothe and comfort; Jojoba Seed, Avocado Oil and Squalane condition and revive continuously.",7.69,35
57,Hairstyling,Bobbi Brown,Hydrating Face Cream,img_man_product198.webp,4,"This rich yet lightweight formula instantly hydrates and steadily releases moisture, skin conditioners and nutrients throughout the day. Skin is smooth and plumped; makeup stays fresh and glowing thanks to a long-lasting cushion of humectants and hydrating ingredients - Algae Extract moisturizes and conditions skin; Caffeine soothes skin.",28.49,4
58,Hairstyling,Bobbi Brown,Hydrating Face Tonic,img_wom_product719.webp,4,"Applied immediately after cleansing, this skin-conditioning tonic begins to restore and balance skin, leaving it soft, soothed and perfectly prepared for the treatment products to follow. Cucumber, Chamomile, Licorice, Aloe Leaf and Lavender soothe and soften skin. Vitamin B5 softens and conditions so skin is prepared for the next treatment step.",46.74,52
59,Hairstyling,Bobbi Brown,Hydrating Gel Cream,img_ani_product8885.webp,4,"This refreshing and lightweight water-based emulsion provides a burst of moisture, leaving skin refreshed, healthy and rejuvenated - and perfectly prepared for a seamless makeup application. Tropical Grass Extract hydrates instantly and increases the skin's natural ability to hold on to moisture. Vitamin E provides anti-oxidant protection against environmental damage.",41.81,56
60,Hairstyling,Bobbi Brown,Hydrating Intense Night Cream,img_cos_product8505.webp,1,"A luxurious night cream that boosts skin's ability to recharge & rehydrate during its nightly repair process, plumping fine lines and improving tone and texture. Skin looks and feels stronger and healthier. White Birch Extract maintains elastin & promotes the natural repair of environmental damage. Shea Butter, Jojoba, Olive and Sweet Almond & Apricot Oils soften and comfort skin while you sleep. A Protein Activator helps promote natural collagen production. Rice Bran Extract & Apple Extract work to even skin tone. Green Tea & Vitamin E provide antioxidant protection.Â ",74.98,98
61,Hairstyling,Bobbi Brown,Hydrating Rich Cream Cleanser,img_eye_product10738.webp,1,"Hydrating Rich Cream Cleanser is formulated with rich emollients and Enriched Mineral Water Blend to cleanse, purify and remove all traces of dirt and makeup without stripping skin of moisture. Avocado Butter and a natural blend of Jojoba, Avocado and Grape Seed Oils gives skin a cushiony, comfortable feel.",34.97,34
62,Shampoos,Bobbi Brown,Illuminating Bronzing Powder,img_bat_product6863.webp,5,This ultra-soft and smooth pressed powder is formulated with a unique and innovative blend of sheer powder and micro pearls. Powder glides on evenly and gives skin a seamless and sheer natural-looking glow.,37.65,17
63,Hairstyling,Bobbi Brown,Ink Eyeliner,img_ess_product1760.webp,3,"Bobbi Brown Ink Eyeliner is a Eyeliner that retails for $24.00 and contains 0.03 oz. There are 1 shades that have been released, which you can select from below.",51.9,95
64,Lipstick,Bobbi Brown,Instant Long-Wear Makeup Remover,img_dri_product5424.webp,4,"This extra gentle waterproof makeup remover effectively removes long-wearing and waterproof eye and lip makeup, while conditioning lashes. Bobbi Brown Instant Long-Wear Makeup Remover leaves eyes and lips clean and pleasantly refreshed.",75.67,75
65,Face Care,Bobbi Brown,Intensifying Long-Wear Mascara,img_ras_product10971.webp,1,"Our longest-lasting mascara not only delivers lush, thick lashes but can stand up to theÂ elements (and even a few tears) for up to 16 hours. For maximum volume and results, we've designed a new brush with unique bristles that easily reaches small lashes and instantly builds lashes without clumping.Â ",31.66,30
66,Conditioner,Bobbi Brown,Intensive Skin Supplement,img_the_product5177.webp,5,"An advanced, multi-benefit serum that improves skin's appearance as it helps prevent the visible signs of aging. White Birch Extract reduces the look of fine, dry lines, while Grape Extract helps clarify and brighten the complexion. After just four weeks' use, skin looks firmer, smoother, more even-toned and radiant. Dermatologist-tested. Non-acnegenic.",41.16,30
67,Hairstyling,Bobbi Brown,Lash Glamour Extreme Lengthening Mascara,img_dou_product2495.webp,1,"Bobbi's new gold standard for ultra-long, perfectly separated lashes. The secret? An upgraded good-for-your lashes formula working in perfect synergy with a unique brush. In just one sweep you get noticeably longer lashes & perfect separation. And because it's enriched with olive-derived emollients, Vitamin B and humectants, this long-wearing mascara conditions lashes while staying smudge & flake-free. You'll be lash obsessed.",15.82,73
68,Hairstyling,Bobbi Brown,Lathering Tube Soap,img_her_product11052.webp,3,"A unique soap formula with a rich, luxurious lathering action that lifts off makeup and dirt. A Coconut Extract derivative cleanses deeply, yet gently, while Apricot Oil hydrates and cushions skin for an incredibly clean, soft, and refreshed feeling.",68.9,14
69,Conditioner,Bobbi Brown,Lip Balm,img_egg_product6538.webp,1,"Yogi Bare Lip Balm inspired by Bobbi's friendship with baseball legend Yogi Berra. This clear lip balm comforts and moisturizes lips and offers the convenience of a swivel-up stick. A combination of Petrolatum, Candelilla Wax and Beeswax forms a barrier that holds moisture to the skin, while natural oils condition the skin to improve the look and feel of lips.",15.67,73
70,Conditioner,Bobbi Brown,Lip Color,img_lav_product8003.webp,3,"A rich, full-coverage lipstick with a semi-matte finish thatâ€™s enriched with vitamins C and E. The very first product Bobbi created, this classic semi-matte lipstick features a brown baseÂ—the secret behind the incredible wearability of all its shades. Whether you want a nude, bright or bold, every shade is instantly flattering, and the vitamin C and E and beeswax-infused formula moisturizes and comforts lips.",65.51,2
71,Lipstick,Bobbi Brown,Lip Gloss,img_str_product5096.webp,1,"Bobbi has sized up all her glosses to give you an extra dose of shine. Lip Gloss is formulated with soothing botanical extracts - including Avocado, Jojoba and Chamomile Oils, and Aloe Extract - to keep lips soft and supple; plus the new tapered applicator lets you apply it like a pro. Scented with a hint of Vanilla.",14.92,39
72,Face Care,Bobbi Brown,Lip Liner,img_cha_product1164.webp,2,"A naturally flattering way to define lips. Lip Liner is long-wearing and non-drying, applies smoothly and evenly, and helps reduce feathering. Each liner includes a sharpener.",28.06,59
73,Hairstyling,Bobbi Brown,Long-Wear Cream Eyeshadow,img_tom_product1514.webp,3,Velvety-smooth formula that goes on easily - and lasts all day without creasing or smearing. Fragrance free. Safe for contact lens wearers. Ophthalmologist tested.,6.17,38
74,Lipstick,Bobbi Brown,Long-Wear Cream Shadow Stick,img_yog_product10529.webp,3,"Effortless and high impact-that's the essence of NEW Long-Wear Cream Shadow Stick. This do-it-all formula glides on tug-free and can be used to shade, define, smoke up and highlight eyes. In subtle to eye-popping shades that last for up to 8 hours without creasing, flaking or fading, it's a stroke of genius. Just swipe on and go.",50.87,19
75,Conditioner,Bobbi Brown,Long-Wear Eye Pencil,img_cha_product836.webp,1,"The wait is over: for those who want the benefits of Bobbi's Long-Wear Gel Eyeliner in pencil form, here it is. This richly pigmented formula really goes the distance, staying put for 12 hours. Long-Wear Eye Pencil's densely pigmented formula glides on smoothly, for intense definition that lasts all day, so there's no need to worry about smudging or smearing. Apply in the morning and wear it into the night. Each pencil comes with a complimentary sharpener.",39.17,38
76,Face Care,Bobbi Brown,Long-Wear Gel Eyeliner,img_ice_product1677.webp,5,"Long-wearing, water-resistant color glides on & let's you get it just right before it dries - then stays without a smear or crease.",20.78,32
77,Lipstick,Bobbi Brown,Metallic Eye Shadow,img_app_product4105.webp,4,"Metallic Eye Shadow combines rich, high-pigment color with intense shimmer. Each shade applies smoothly and evenly, and stays crease-free for all-day wear.",24.4,93
78,Lipstick,Bobbi Brown,Metallic Long-Wear Cream Shadow,img_oil_product1653.webp,5,"Luxe metallics for eyes. Our award-winning formula-infused with sparkle. For a sheer effect, blend on lids with your fingers. For a more dramatic look, add another layer. Or wear on top of your favorite matte cream shadow for soft shimmer. Stays color-true and crease-free all day.",33.8,4
79,Conditioner,Bobbi Brown,Nail Lacquer,img_liq_product2398.webp,2,"Punctuate your look with long-lasting color for perfectly polished fingers (and toes). Done in rich, matte shades that dry to a lustrous finish, this polish is the ultimate accessory for nails, day and night.",16.45,10
80,Conditioner,Bobbi Brown,Natural Brow Shaper & hair Touch up,img_gir_product6160.webp,3,"Cream-gel formula effortlessly defines and fills in brows, while controlling and shaping them. Now features a new, shorter brush for more definition.",39.48,21
81,Face Care,Bobbi Brown,No Smudge Mascara,img_win_product9903.webp,4,"This long-wearing, waterproof mascara defines, curls and lengthens lashes without smudging, clumping or flaking. Buildable formula creates natural to dramatic looks depending on how many coats are applied.Â ",20.66,71
82,Face Care,Bobbi Brown,Pot Rouge for Lips & Cheeks,img_veg_product12961.webp,2,"Our best-selling, multi-tasking cream color just got even better. It's now in a mirrored flip-top compact for on-the-spot application. Blend it on the apples of your cheeks for a just-pinched look. Blot it on your lips for a soft, stained finish.For drier skins, be sure to moisturize skin first.",71.99,44
83,Lipstick,Bobbi Brown,Powder,img_gir_product5191.webp,4,"Luxurious brush designed to use with Face Powder and Sheer Finish Loose Powder. Dusts just the right amount of powder on skin for an even and polished, yet natural look.Â ",58.79,80
84,Lipstick,Bobbi Brown,Protective Face Lotion,img_oli_product9697.webp,4,"This lightweight, moisturizing lotion hydrates as Anti-Oxidant Vitamin E aids in fighting skin-damaging free radicals; Chamomile calms and soothes. Formulated to absorb quickly, and leave skin smooth and prepared for even, long-lasting makeup application. Dermatologist-tested.",57.13,7
85,Lipstick,Bobbi Brown,Retouching Powder,img_lip_product6684.webp,3,"Bobbi's NEW skin perfecting Retouching Powder in six color-correcting shades help brighten and even out skin tone and discolorations, plus they invisibly diminish the appearance of dark spots, fine lines, redness and other imperfections while giving skin an airbrushed look.Â ",70.94,53
86,Face Care,Bobbi Brown,Retractable Lip,img_the_product5177.webp,2,"Apply your lipstick, stain, or gloss with perfect precision â€” even when you're on the go. Simply remove the brush's sleek, protective cap and attach it to the back end. You now have a strong, steady handle for a professional application.",15.14,99
87,Face Care,Bobbi Brown,Rich Color Gloss,img_vog_product8195.webp,4,"Rich Color Gloss has the full color coverage of a lipstick, the soft shine of a gloss, and the luxurious feel of a balm. It moisturizes, conditions, and lasts throughout the day without feathering, plus the new tapered applicator lets you apply it like a pro.",62.35,38
88,Conditioner,Bobbi Brown,Rich Lip Color,img_gir_product6160.webp,4,"Bright, get-noticed color. Lightweight, yet intense, Bobbi's latest formula combines pigments with a clear base to deliver pure, crisp color with just one swipe. Plus, it's creamy and moisturizing, so lips feel as good as they look.",49.32,27
89,Hairstyling,Bobbi Brown,Sheer Color Cheek Tint,img_mak_product12095.webp,1,"Our beloved blush formula is back with a newly designed, more luxurious look. Featuring the same easy twist-up application, this sheer, tinted formula glides on smooth and blends in beautifully for a failproof flush of natural looking color on cheeks every time. ",7.83,71
90,Shampoos,Bobbi Brown,Sheer Color Lip Gloss,img_app_product4105.webp,5,"Bobbi has sized up all her glosses to give you an extra dose of shine. Wear it on its own for sheer color or swipe it on top of lipstick for extra shine, plus the new tapered applicator lets you apply it like a pro. Bonus: Sheer Color Lip Gloss is infused with soothing botanical extracts to keep lips healthy and soft.",40.84,39
91,Conditioner,Bobbi Brown,Sheer Finish Loose Powder,img_che_product1656.webp,5,"Same long-lasting, super-sheer powder now in a sleek, new sifter-style jar. This 100% oil-free and oil-absorbing formula sets concealer and foundation for a smooth, flawless finish. Perfect for oily skin or anyone looking for a lighter powder.Â ",36.88,23
92,Lipstick,Bobbi Brown,Sheer Finish Pressed Powder,img_dou_product2495.webp,5,"Bobbi's long-lasting, super-sheer powder sets and perfects color to create a smooth, flawless finish. This sheer powder is 100% oil-free and oil-absorbing, with Vitamin E for the most comfortable wear.",41.75,98
93,Conditioner,Bobbi Brown,Sheer Powder,img_mak_product10577.webp,3,"Perfect for those who prefer a more sheer application, this brush was designed to be used with ourÂ Retouching Powder, but easily doubles as your go-to tool for a light dusting of any of our powder formulas includingÂ Sheer Finish Pressed PowderÂ and ourÂ Skin Foundation Mineral Makeup SPF 15. Soft, fluffy bristles and a uniquely shaped head (similar to our Eye Blender brush, but larger) fit nicely around the eyes and corners of the nose for a natural, lightweight veil of illumination on the skin.",35.66,42
94,Shampoos,Bobbi Brown,Shimmer Blush,img_foo_product6119.webp,4,"Silky formula glides on smoothly and offers a matte finish with long-lasting wear. Comes in this sleek, flip-top compact that can be used individually or assembled into palettes (sold separately). ",43.06,81
95,Hairstyling,Bobbi Brown,Shimmer Brick,img_lav_product8003.webp,1,"The original Shimmer Brick Compact. This shimmering, brush-on powder creates a deep, bronzy glow. Works well with neutral and deep blush shades. To apply: Sweep the Face Blender Brush through all five shades and dust lightly on cheekbones after blush. Focus on applying shimmer on the top of cheekbones. To add a highlight to eyes, apply the lightest shade in the compact just under browbone with fingertips or the Eye Smudge Brush.",65.2,86
96,Hairstyling,Bobbi Brown,Shimmer Lip Gloss,img_gir_product5191.webp,2,"Bobbi has sized up all her glosses to give you an extra dose of shine. Shimmer Lip Gloss offers beautiful, non-sticky shine with a touch of iridescence and is perfect on its own or over your favorite lipstick. Formulated with Aloe Extract to soothe and soften lips; Vitamins C and E for anti-oxidant protection; and Jojoba and Avocado Oils to moisturize lips.",29.77,25
